year,m,x,y,fit,lwr,upr,residuals,outlier
2012,10,238154,39860,47087.642,45932.821,48242.463,-7227.642,TRUE
2013,10,128579,22159,25870.605,25221.508,26519.703,-3711.605,TRUE
2014,08,190370,40845,37835.213,36929.628,38740.799, 3009.787,TRUE
2015,10,284887,46741,56136.565,54719.203,57553.928,-9395.565,TRUE
2016,10,177465,30809,35336.415,34492.563,36180.266,-4527.415,TRUE
2017,10,203876,33607,40450.384,39477.197,41423.570,-6843.384,TRUE
2018,10,119528,19568,24118.058,23495.127,24740.988,-4550.058,TRUE
2019,08,242744,51935,47976.405,46796.422,49156.388, 3958.595,TRUE
2019,10,159766,25613,31909.352,31144.376,32674.329,-6296.352,TRUE
2020,08,235086,50694,46493.584,45355.487,47631.681, 4200.416,TRUE
2020,09,371618,69329,72930.312,71002.679,74857.946,-3601.312,TRUE
2020,10,236591,41468,46784.998,45638.707,47931.289,-5316.998,TRUE
2021,08,235453,51711,46564.647,45424.553,47704.740, 5146.353,TRUE
2022,07, 43692,14212, 9433.912, 8832.751,10035.074, 4778.088,TRUE
2022,08, 76511,47507,15788.664,15225.096,16352.233,31718.336,TRUE
2022,10,185691,32130,36929.217,36046.370,37812.064,-4799.217,TRUE
2024,07, 35755,22478, 7897.069, 7276.859, 8517.279,14580.931,TRUE
2024,08,315415,68635,62047.710,60453.197,63642.224, 6587.290,TRUE
2024,09,342525,83154,67297.027,65542.741,69051.313,15856.973,TRUE
2024,11, 75577,22663,15607.814,15044.175,16171.452, 7055.186,TRUE
2024,12, 43682,12075, 9431.976, 8830.792,10033.160, 2643.024,TRUE
2025,11, 65739,21301,13702.879,13134.834,14270.924, 7598.121,TRUE
2025,12, 32408,10669, 7248.988, 6619.743, 7878.234, 3420.012,TRUE
