year,m,x,y,fit,lwr,upr,residuals,outlier
2013,09, 59535,36019, 25179.73,24333.935, 26025.52, 10839.272,TRUE
2014,08, 75686,40845, 31044.98,30052.502, 32037.46,  9800.021,TRUE
2015,12, 76526,17703, 31350.03,30348.737, 32351.32,-13647.026,TRUE
2018,09, 73180,42251, 30134.92,29168.135, 31101.71, 12116.077,TRUE
2022,08, 47640,47507, 20860.05,20085.684, 21634.41, 26646.952,TRUE
2023,09, 88659,46486, 35756.14,34617.960, 36894.31, 10729.864,TRUE
2024,07, 18231,22478, 10180.14, 9395.772, 10964.51, 12297.858,TRUE
2024,08,215589,68635, 81850.88,78893.926, 84807.84,-13215.884,TRUE
2024,09,272041,83154,102351.48,98526.885,106176.08,-19197.480,TRUE
2025,11, 20907,21301, 11151.93,10379.892, 11923.98, 10149.066,TRUE
