year,m,x,y,fit,lwr,upr,residuals,outlier
2012,09,63408,336595,311987.67,303878.61,320096.73,  24607.33,TRUE
2012,10,39860,238154,195556.24,190784.66,200327.82,  42597.76,TRUE
2013,10,22159,128579,108034.89,105016.89,111052.89,  20544.11,TRUE
2014,09,42049,220178,206379.60,201322.96,211436.24,  13798.40,TRUE
2014,10,36568,201003,179279.18,174918.49,183639.87,  21723.82,TRUE
2015,09,61739,323070,303735.42,295875.58,311595.25,  19334.58,TRUE
2015,10,46741,284887,229578.86,223886.79,235270.93,  55308.14,TRUE
2016,10,30809,177465,150804.21,147091.65,154516.77,  26660.79,TRUE
2017,07,17568, 72520, 85335.02, 82474.89, 88195.14, -12815.02,TRUE
2017,10,33607,203876,164638.72,160624.54,168652.90,  39237.28,TRUE
2018,10,19568,119528, 95223.87, 92316.61, 98131.14,  24304.13,TRUE
2019,08,51935,242744,255260.23,248835.87,261684.59, -12516.23,TRUE
2019,09,53234,282749,261683.04,255071.92,268294.16,  21065.96,TRUE
2019,10,25613,159766,125112.95,121870.04,128355.86,  34653.05,TRUE
2020,08,50694,235086,249124.19,242877.03,255371.36, -14038.19,TRUE
2020,09,69329,371618,341263.64,332262.29,350264.98,  30354.36,TRUE
2020,10,41468,236591,203506.88,198526.71,208487.06,  33084.12,TRUE
2021,08,51711,235453,254152.68,247760.40,260544.96, -18699.68,TRUE
2021,09,49829,263437,244847.26,238722.83,250971.69,  18589.74,TRUE
2021,10,28342,157917,138606.30,135133.53,142079.07,  19310.70,TRUE
2022,07,14212, 43692, 68741.51, 65880.85, 71602.17, -25049.51,TRUE
2022,08,47507, 76511,233366.29,227567.89,239164.70,-156855.29,TRUE
2022,10,32130,185691,157335.80,153484.36,161187.24,  28355.20,TRUE
2023,10,39692,208865,194725.58,189975.52,199475.64,  14139.42,TRUE
2023,11,26819,145959,131075.93,127736.52,134415.35,  14883.07,TRUE
2024,07,22478, 35755,109612.17,106576.90,112647.43, -73857.17,TRUE
2024,08,68635,315415,337832.20,328936.02,346728.39, -22417.20,TRUE
2024,09,83154,342525,409620.38,398500.72,420740.04, -67095.38,TRUE
2024,11,22663, 75577,110526.88,107481.26,113572.51, -34949.88,TRUE
2024,12,12075, 43682, 58175.26, 55262.32, 61088.21, -14493.26,TRUE
2025,11,21301, 65739,103792.57,100817.16,106767.98, -38053.57,TRUE
2025,12,10669, 32408, 51223.40, 48255.04, 54191.75, -18815.40,TRUE
