year,m,x,y,fit,lwr,upr,residuals,outlier
2013,09, 59535,188981,123768.55,119261.28,128275.82,  65212.45,TRUE
2013,10, 33591,128579, 76373.41, 72408.77, 80338.06,  52205.59,TRUE
2014,09, 84087,220178,168620.75,162840.52,174400.99,  51557.25,TRUE
2015,09,137635,323070,266443.56,256879.43,276007.69,  56626.44,TRUE
2015,12, 76526, 93633,154808.13,149472.22,160144.05, -61175.13,TRUE
2016,10, 49627,177465,105668.37,101492.36,109844.39,  71796.63,TRUE
2018,09, 73180,210659,148695.58,143543.52,153847.63,  61963.42,TRUE
2023,09, 88659,228974,176973.00,170907.60,183038.39,  52001.00,TRUE
2024,08,215589,315415,408851.85,393094.09,424609.61, -93436.85,TRUE
2024,09,272041,342525,511979.76,491598.32,532361.19,-169454.76,TRUE
