year,m,x,y,fit,lwr,upr,residuals,outlier
2013,09,36019, 59535, 85270.83, 82298.38, 88243.28,-25735.83,TRUE
2014,08,40845, 75686, 97573.33, 94182.70,100963.97,-21887.33,TRUE
2015,10,46741,135011,112603.49,108663.82,116543.16, 22407.51,TRUE
2015,12,17703, 76526, 38579.46, 36598.43, 40560.49, 37946.54,TRUE
2016,10,30809, 49627, 71989.44, 69419.85, 74559.03,-22362.44,TRUE
2017,09,72895,202308,179275.59,172670.03,185881.16, 23032.41,TRUE
2018,09,42251, 73180,101157.53, 97639.17,104675.89,-27977.53,TRUE
2020,09,69329,202617,170185.10,163954.96,176415.24, 32431.90,TRUE
2022,08,47507, 47640,114556.19,110542.91,118569.46,-66916.19,TRUE
2023,09,46486, 88659,111953.44,108038.17,115868.71,-23294.44,TRUE
2024,07,22478, 18231, 50751.95, 48651.14, 52852.76,-32520.95,TRUE
2024,08,68635,215589,168415.95,162258.60,174573.29, 47173.05,TRUE
2024,09,83154,272041,205427.96,197731.67,213124.26, 66613.04,TRUE
2025,11,21301, 20907, 47751.53, 45692.14, 49810.91,-26844.53,TRUE
