year,m,x,y,fit,lwr,upr,residuals,outlier
2013,09,188981, 59535, 90176.05, 86860.92, 93491.18,-30641.05,TRUE
2013,10,128579, 33591, 59842.44, 57448.30, 62236.58,-26251.44,TRUE
2014,09,220178, 84087,105843.04,101940.58,109745.50,-21756.04,TRUE
2015,12, 93633, 76526, 42292.72, 40179.44, 44405.99, 34233.28,TRUE
2016,10,177465, 49627, 84392.77, 81280.29, 87505.24,-34765.77,TRUE
2017,09,368188,202308,180172.99,173138.78,187207.20, 22135.01,TRUE
2018,09,210659, 73180,101062.64, 97344.35,104780.94,-27882.64,TRUE
2019,10,159766, 53159, 75504.41, 72682.86, 78325.96,-22345.41,TRUE
2020,09,371618,202617,181895.52,174785.62,189005.43, 20721.48,TRUE
2021,08,235453,134894,113514.08,109308.94,117719.21, 21379.92,TRUE
2023,09,228974, 88659,110260.35,106184.58,114336.12,-21601.35,TRUE
2024,08,315415,215589,153670.63,147789.41,159551.85, 61918.37,TRUE
2024,09,342525,272041,167285.15,160814.62,173755.68,104755.85,TRUE
